year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,sellingprice,saledate
2011,BMW,X6,xDrive35i,suv,automatic,5uxfg2c54blx07398,pa,4.6,55350.0mi,black,black,adcock brothers inc,$35000,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
2013,Chrysler,200,LX,Sedan,automatic,1c3ccbab2dn671425,fl,4.2,37437.0mi,black,black,enterprise veh exchange/rental,$11200,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2014,Chevrolet,Silverado 1500,LT,double cab,automatic,1gcrcrec5ez294147,ca,3.8,5773.0mi,silver,black,bmw alphera/alphera financial services,$27600,Wed Jun 03 2015 05:35:00 GMT-0700 (PDT)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcn444891,il,2.4,36526.0mi,gray,gray,nissan-infiniti lt,$10100,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
2007,Nissan,Xterra,S,SUV,automatic,5n1an08u47c547922,tx,3.0,154460.0mi,blue,gray,advancial fcu,$4100,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
2015,Chrysler,200,Limited,Sedan,automatic,1c3cccag5fn516436,va,4.0,18686.0mi,blue,black,pv holding inc/gdp,$16000,Thu Feb 26 2015 00:45:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar7dm350161,co,4.1,13246.0mi,black,black,infiniti financial services,$21800,Wed Feb 18 2015 04:00:00 GMT-0800 (PST)
2011,Infiniti,FX,FX35,SUV,automatic,jn8as1mwxbm733398,tn,2.7,28063.0mi,black,tan,nissan infiniti lt,$29000,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
2008,Lexus,ES 350,Base,Sedan,automatic,jthbj46g282245253,nv,3.5,71460.0mi,silver,beige,lexus of henderson,$14400,Fri Mar 06 2015 03:50:00 GMT-0800 (PST)
2010,Kia,Sportage,LX,SUV,automatic,kndkgca39a7714099,co,2.5,42628.0mi,gray,black,prestige financial services,$13200,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha9cr317197,ca,3.9,14959.0mi,blue,black,"ford motor credit company,llc pd",$13700,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
2004,Lexus,RX 330,Base,suv,automatic,2t2ha31u64c026791,pa,3.5,93185.0mi,silver,gray,alans autos,$10000,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
2013,Mazda,CX-5,Grand Touring,SUV,automatic,jm3ke2de4d0151724,ne,4.0,55108.0mi,white,tan,willis cadillac inc,$17800,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
2011,Honda,CR-V,EX-L,SUV,automatic,jhlre4h7xbc015403,oh,4.5,63235.0mi,blue,gray,john hinderer honda,$16600,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2010,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1ev3afd87984,tx,2.3,217731.0mi,white,tan,donlen corporation,$11200,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
2010,Dodge,Charger,SXT Fleet,Sedan,automatic,2b3ca3cv1ah127180,nj,2.6,54860.0mi,silver,black,chrysler capital,$9100,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
2011,Ford,F-150,XLT,SuperCab,automatic,1ftex1cm7bkd67572,tx,2.5,45812.0mi,—,tan,"ford motor credit company,llc",$15700,Thu Jan 08 2015 10:30:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,convertible,automatic,1zvbp8emxe5295257,tx,4.5,35100.0mi,black,black,avis budget group,$16000,Wed Jun 17 2015 04:00:00 GMT-0700 (PDT)
2006,Chrysler,Town and Country,Touring,Minivan,automatic,2a4gp54l96r703777,fl,3.4,33059.0mi,blue,gray,chrysler capital,$7600,Wed Jan 28 2015 01:05:00 GMT-0800 (PST)
2007,GMC,Yukon,SLE,SUV,automatic,1gkfk13097r228305,nc,3.3,91805.0mi,black,gray,medlin buick gmc mazda,$17400,Mon Feb 16 2015 01:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap4cn474663,nj,3.1,32095.0mi,red,—,nissan-infiniti lt,$12200,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
2012,Ford,Fusion,SEL,sedan,automatic,3fahp0cg4cr312078,co,4.3,32515.0mi,white,beige,lease plan usa,$15300,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
2011,Dodge,Grand Caravan,Express,Minivan,automatic,2d4rn4dgxbr731604,mi,3.6,86116.0mi,gray,beige,ge fleet services for itself/servicer,$5500,Thu Jan 29 2015 01:30:00 GMT-0800 (PST)
2007,Honda,Civic,Hybrid,Sedan,automatic,jhmfa36277s006554,nc,2.9,168619.0mi,blue,blue,gm financial,$2700,Mon Mar 02 2015 16:00:00 GMT-0800 (PST)
2012,Chevrolet,Volt,Base,hatchback,automatic,1g1rb6e47cu103910,ca,4.1,27884.0mi,red,beige,fiserv/usb dealer services northstar exchange,$18000,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
2014,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac6eh868434,co,3.7,30369.0mi,red,gray,avis corporation,$12800,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
2009,Kia,Borrego,EX,SUV,automatic,kndjj741595034819,nv,2.0,79586.0mi,gray,—,automotive remarketing inc,$9700,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
2013,Dodge,Charger,R/T,Sedan,automatic,2c3cdxct9dh660544,mi,5.0,15087.0mi,black,black,metro wholesale outlet inc,$23200,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
2014,Subaru,Outback,2.5i Premium PZEV,Wagon,automatic,4s4brbcc8e3289873,nj,4.3,9570.0mi,gray,black,subaru of america,$23200,Wed Jan 07 2015 09:15:00 GMT-0800 (PST)
2009,Infiniti,G37,x,Sedan,automatic,jnkcv61f69m355649,nv,2.7,73843.0mi,gray,gray,centennial toyota & scion,$14100,Fri Feb 13 2015 03:45:00 GMT-0800 (PST)
2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f32ca062022,pa,3.8,37802.0mi,white,brown,"ahfc/honda lease trust/hvt, inc. eot",$12300,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg5er476867,pa,4.0,9227.0mi,white,black,enterprise holdings/gdp,$17500,Thu Feb 05 2015 01:30:00 GMT-0800 (PST)
2011,Mercedes-Benz,E-Class,E350 4MATIC,Sedan,automatic,wddhf8hbxba462557,tx,5.0,38786.0mi,black,tan,chicago motor car corporation,$25000,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
2014,Ford,Focus,SE,Hatchback,automatic,1fadp3k27el257388,ny,5.0,11490.0mi,red,black,"ford motor credit company,llc",$12000,Wed Mar 04 2015 01:20:00 GMT-0800 (PST)
2011,Lexus,ES 350,Base,sedan,automatic,jthbk1eg7b2444268,fl,2.8,42905.0mi,gray,gray,lexus financial services,$17400,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2014,Honda,Civic,EX-L,Sedan,automatic,19xfb2f97ee207215,ca,4.6,11814.0mi,white,tan,american honda motor company,$19500,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
2013,Toyota,Yaris,L,Hatchback,automatic,jtdktud34dd552109,mi,3.9,53711.0mi,silver,black,the hertz corporation,$9200,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
2013,Toyota,4Runner,Limited,suv,automatic,jtebu5jr4d5138054,wa,4.4,14004.0mi,silver,black,lexus of tacoma at fife,$37800,Wed Jun 17 2015 06:20:00 GMT-0700 (PDT)
2005,Dodge,Dakota,SLT,Club Cab,automatic,1d7he42k45s230104,fl,2.9,99407.0mi,black,gray,"pnc bank, national association",$6900,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2009,Chevrolet,Silverado 1500,Work Truck,Extended Cab,automatic,1gcek19j19e113392,tx,3.1,222446.0mi,gray,black,lawler motor sports inc,$7000,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
2011,Ford,Taurus,SE,Sedan,automatic,1fahp2dw8bg180966,va,1.9,80633.0mi,gray,tan,wheels exchange llc,$10700,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2014,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk0eu405938,nc,4.2,15009.0mi,gray,gray,toyota motor sales usa inc/program,$15200,Tue Jan 20 2015 01:15:00 GMT-0800 (PST)
2005,Dodge,Neon,SRT-4,Sedan,manual,1b3es66s75d262921,az,1.9,83114.0mi,red,black,a l financial corporation,$6300,Wed Mar 04 2015 03:00:00 GMT-0800 (PST)
2008,Honda,Civic,EX,Sedan,automatic,1hgfa16868l021618,nv,3.9,70733.0mi,blue,gray,"ahfc/honda lease trust/hvt, inc.",$9600,Fri Dec 19 2014 12:00:00 GMT-0800 (PST)
2009,Honda,Civic,EX,Coupe,automatic,2hgfg12819h520040,ca,4.0,80542.0mi,silver,gray,auto depot,$9400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f8xeg105737,tx,3.5,39577.0mi,brown,tan,avis corporation,$18300,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
2001,Chevrolet,Venture,Warner Bros.,Minivan,automatic,1gndx13e91d153567,fl,2.7,195144.0mi,red,gray,autonation honda miami lakes,$1700,Tue Feb 17 2015 10:00:00 GMT-0800 (PST)
2013,Nissan,Pathfinder,SV,SUV,automatic,5n1ar2mm0dc650708,la,2.8,58436.0mi,silver,black,the hertz corporation,$17400,Wed Feb 11 2015 03:00:00 GMT-0800 (PST)
2003,Ford,Expedition,Eddie Bauer,SUV,automatic,1fmfu18l03la26969,ma,1.9,169774.0mi,white,tan,metro ford,$2100,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
2009,GMC,Sierra 2500HD,SLE,crew cab,automatic,1gthk53k19f121508,tn,3.5,138073.0mi,gray,gray,chrysler capital,$15600,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
2006,Chevrolet,Malibu Maxx,SS,Hatchback,automatic,1g1zw63126f150509,nc,1.9,96918.0mi,blue,black,hendrick motors of charlotte,$4800,Wed Feb 04 2015 06:00:00 GMT-0800 (PST)
2001,Buick,LeSabre,Custom,Sedan,automatic,1g4hp54k414177759,la,4.2,121773.0mi,silver,gray,westfall auto sales,$3000,Wed Feb 18 2015 02:40:00 GMT-0800 (PST)
2009,Chevrolet,HHR,LT,Wagon,automatic,3gnca53v29s565216,pa,3.5,65020.0mi,beige,beige,champion mazda,$8600,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2008,BMW,5 Series,550i,Sedan,automatic,wbanw53568ct50166,md,4.3,77355.0mi,white,black,wells fargo dealer services,$17800,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8em5c5273342,ca,2.9,50232.0mi,gray,black,dtg operations inc,$12000,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2007,Ford,Escape,XLS,SUV,automatic,1fmyu02zx7kb28386,fl,3.3,78566.0mi,red,tan,santander consumer,$5600,Thu Jan 29 2015 01:35:00 GMT-0800 (PST)
2013,Lexus,GS 350,Base,Sedan,automatic,jthbe1bl9d5015403,fl,4.6,18602.0mi,off-white,tan,lexus financial services,$38200,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2009,Acura,TSX,Base,Sedan,automatic,jh4cu26669c008462,fl,1.9,77611.0mi,gray,black,coral springs honda,$12300,Thu Feb 26 2015 03:50:00 GMT-0800 (PST)
2011,Chrysler,300,Base,Sedan,automatic,2c3ca5cg1bh598599,pa,4.4,63033.0mi,black,gray,car sense incorporated,$15600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5c53ba440851,ca,3.6,46697.0mi,green,beige,walters auto sales/service inc,$15750,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
2014,Ford,Flex,Limited,Wagon,automatic,2fmhk6d82ebd05386,mn,4.5,14261.0mi,black,black,"ford motor credit company,llc",$31900,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2012,Lexus,ES 350,Base,Sedan,automatic,jthbk1eg1c2478272,oh,4.4,32600.0mi,gray,black,lexus rivercenter,$21400,Wed Dec 31 2014 10:00:00 GMT-0800 (PST)
2008,Ford,Focus,SES,Sedan,automatic,1fahp35n78w114581,mi,3.6,99197.0mi,silver,beige,advia credit union,$4900,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bgxer400482,fl,4.0,23543.0mi,silver,black,sixt rent a car llc,$19000,Mon Jun 08 2015 05:30:00 GMT-0700 (PDT)
2007,Chevrolet,Silverado 1500,LT2,Crew Cab,automatic,2gcec13j171540530,tx,3.2,92090.0mi,brown,black,cm investments,$14200,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
2013,Volkswagen,Beetle,2.5L PZEV,Hatchback,automatic,3vwfp7at2dm661214,co,4.2,40833.0mi,black,black,avis corporation,$11300,Wed Feb 11 2015 03:45:00 GMT-0800 (PST)
2011,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1e64bfa66899,mi,3.8,84352.0mi,white,gray,grace motors,$24000,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
2009,Toyota,Venza,Base,Wagon,automatic,4t3zk11a09u011877,fl,4.2,92439.0mi,white,beige,vw credit,$11400,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk8ebl04300,fl,4.7,12542.0mi,—,beige,ford motor credit company,$36000,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
2009,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcek23339g233199,fl,2.1,90664.0mi,white,gray,f a m international inc,$17800,Thu Jan 22 2015 01:35:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap2cn454346,fl,4.3,54760.0mi,black,black,nissan-infiniti lt,$12400,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2012,Infiniti,QX,QX56,SUV,automatic,jn8az2ne2c9015498,il,2.1,41809.0mi,black,black,nissan infiniti lt,$42800,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2014,Ford,Taurus,SEL,Sedan,automatic,1fahp2e89eg121235,oh,4.2,19768.0mi,gray,—,"ford motor credit company,llc",$17100,Tue May 26 2015 02:00:00 GMT-0700 (PDT)
2001,Pontiac,Firebird,Base,Hatchback,automatic,2g2fs22k912110340,fl,2.6,102635.0mi,blue,black,sell your car here,$3100,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
2009,Dodge,Ram Pickup 2500,Laramie,quad cab,automatic,3d7ks28l49g537398,tx,1.9,141318.0mi,gold,beige,west end autos,$15800,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2014,Ford,Focus,SE,Sedan,automatic,1fadp3f21el132915,fl,1.0,32407.0mi,white,gray,enterprise vehicle exchange / tra / rental / tulsa,$7100,Tue Feb 17 2015 01:15:00 GMT-0800 (PST)
2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcukrec4eg474801,va,4.5,16599.0mi,black,gray,enterprise veh exchange/rental,$20100,Thu Jan 15 2015 01:20:00 GMT-0800 (PST)
2003,Toyota,4Runner,SR5,suv,automatic,jtebu14r130015246,ne,3.4,97412.0mi,silver,gray,quest auto sales inc,$9200,Thu Jun 18 2015 04:00:00 GMT-0700 (PDT)
2012,Toyota,Camry Hybrid,XLE,sedan,automatic,4t1bd1fk2cu019461,sc,3.6,90949.0mi,black,gray,bb&t asset disposal,$15900,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
2013,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee7dc116977,fl,4.6,13732.0mi,silver,gray,world omni financial corporation,$12800,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2014,Kia,Soul,Base,Wagon,manual,kndjn2a26e7001993,la,4.5,20150.0mi,black,black,american auto brokers inc,$11000,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
2007,Mercedes-Benz,S-Class,S550,Sedan,automatic,wddng71x27a118468,ga,3.6,118794.0mi,silver,gray,mercedes benz of buckhead,$16400,Tue Jan 06 2015 05:00:00 GMT-0800 (PST)
2009,Mercedes-Benz,E-Class,E350,Sedan,automatic,wdbuf56x09b391930,fl,4.3,66581.0mi,black,black,arg inc,$14500,Fri Feb 13 2015 01:30:00 GMT-0800 (PST)
2006,Mercedes-Benz,M-Class,ML500,suv,automatic,4jgbb75e06a066157,wi,3.9,107896.0mi,gray,black,auto world inc,$10500,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
2013,Toyota,RAV4,LE,SUV,automatic,2t3bfrev2dw023118,tn,3.4,58269.0mi,red,—,the hertz corporation,$16800,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2013,Hyundai,Genesis,3.8,sedan,automatic,kmhgc4dd5du240858,nc,3.4,52640.0mi,silver,black,the hertz corporation,$15100,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
2006,Pontiac,G6,Base,Sedan,automatic,1g2zg558164229212,oh,3.5,81758.0mi,silver,gray,credit acceptance corp/vrs/southfield,$4400,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
2013,Ford,Fiesta,Titanium,Hatchback,automatic,3fadp4fj7dm174922,fl,4.6,27913.0mi,black,black,"ford motor credit company,llc",$11100,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
2011,Ram,3500,SLT,Crew Cab,automatic,3d73y3cl8bg533487,co,1.9,76250.0mi,green,gray,castlewood motors ltd,$24000,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2013,Lincoln,MKS,Base,sedan,automatic,1lnhl9ek6dg617078,il,4.8,24147.0mi,black,gray,"ford motor credit company,llc",$26600,Tue Jun 16 2015 04:00:00 GMT-0700 (PDT)
2009,Pontiac,G6,Base,Sedan,automatic,1g2zj57b494236010,tx,3.1,31997.0mi,gold,black,caprock auto remarketing,$6700,Thu Jan 29 2015 03:00:00 GMT-0800 (PST)
2014,Dodge,Journey,Crossroad,SUV,automatic,3c4pddgg1et311704,in,4.8,11990.0mi,silver,black,gm financial,$22900,Thu May 21 2015 03:10:00 GMT-0700 (PDT)
2001,GMC,Safari Cargo,SL,Minivan,automatic,1gtdl19wx1b511565,mn,2.0,113261.0mi,white,gray,centurylink,$2000,Tue Dec 23 2014 10:45:00 GMT-0800 (PST)
2014,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap2el677373,ga,3.6,3189.0mi,red,beige,"jpmorgan chase bank,n.a.",$12100,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
2012,Chevrolet,Volt,Base,hatchback,automatic,1g1re6e45cu123838,ca,2.9,30610.0mi,blue,black,fiserv/usb dealer services northstar exchange,$15100,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
2007,Chevrolet,Silverado 1500,LT2,Crew Cab,automatic,3gcec13j77g517986,tx,1.9,80290.0mi,black,black,chrysler capital,$10600,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
2002,Chevrolet,Avalanche,1500,Crew Cab,automatic,3gnek13t92g126164,tx,2.1,150044.0mi,gold,—,village of hatch police department,$4500,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
2007,Lexus,RX 350,Base,SUV,automatic,2t2hk31u77c038272,pa,3.6,132851.0mi,silver,black,manheim imports,$11400,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2012,Kia,Soul,Base,Wagon,automatic,kndjt2a53c7477745,az,3.1,32298.0mi,silver,black,wells fargo dealer services,$10600,Tue Dec 30 2014 11:00:00 GMT-0800 (PST)
2013,Toyota,Yaris,L,Hatchback,automatic,jtdktud36dd562205,fl,3.7,37335.0mi,black,gray,prestige auto sales and rentals,$10300,Thu Feb 05 2015 01:40:00 GMT-0800 (PST)
2004,Chrysler,Sebring,Base,Sedan,automatic,1c3al46j54n387239,ca,2.5,97595.0mi,black,black,dt credit corporation,$2300,Thu Mar 05 2015 04:30:00 GMT-0800 (PST)
2012,BMW,1 Series,135i,Coupe,manual,wbauc9c52cvm12770,ca,4.4,15253.0mi,gray,—,financial services remarketing (lease),$28500,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2013,Chevrolet,Black Diamond Avalanche,LTZ,Crew Cab,automatic,3gnmcge02dg284556,tx,4.3,36556.0mi,green,tan,moab ford,$33600,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c51cf347186,fl,4.2,44480.0mi,black,beige,financial services remarketing (lease),$21600,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
2008,Saturn,VUE,XE,SUV,automatic,3gscl33p68s502924,tx,2.9,168772.0mi,blue,tan,remarketing by ge/flagship credit acceptance,$3000,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
2006,BMW,Z4,3.0i,convertible,automatic,4usbu33506lw68694,fl,2.9,85768.0mi,gray,red,greenway ford inc,$9100,Tue Jun 09 2015 02:10:00 GMT-0700 (PDT)
2013,Hyundai,Elantra,GLS,sedan,automatic,5npdh4ae7dh257807,fl,2.2,58707.0mi,brown,beige,the hertz corporation,$9400,Tue May 26 2015 02:15:00 GMT-0700 (PDT)
2005,Mazda,MPV,LX,Minivan,automatic,jm3lw28j650540861,ca,1.9,124715.0mi,silver,gray,a-l financial corporation,$2800,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2013,Ford,Focus,Titanium,Sedan,automatic,1fadp3j20dl176605,mi,2.9,24316.0mi,gray,black,"ford motor credit company,llc",$10700,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap1bc862855,fl,4.4,23893.0mi,black,black,nissan-infiniti lt,$18200,Wed Feb 04 2015 01:00:00 GMT-0800 (PST)
2013,Mazda,Mazda5,Sport,Minivan,automatic,jm1cw2bl3d0149524,mo,2.8,54242.0mi,gray,tan,the hertz corporation,$10601,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
2012,Acura,TL,Base,Sedan,automatic,19uua8f26ca021246,nv,4.1,12333.0mi,black,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",$20000,Fri Dec 19 2014 12:00:00 GMT-0800 (PST)
2009,Chrysler,PT Cruiser,Base,Wagon,automatic,3a8fy48909t588472,ca,3.4,74515.0mi,blue,gray,tdaf remarketing,$3600,Tue May 26 2015 05:00:00 GMT-0700 (PDT)
2001,Mitsubishi,Eclipse,GS,Hatchback,automatic,4a3ac44g81e152720,ga,1.4,180724.0mi,blue,black,nalley volkswagen of alpharetta,$1500,Tue Jan 06 2015 05:00:00 GMT-0800 (PST)
2014,Ford,Explorer,Limited,SUV,automatic,1fm5k7f86ega76466,fl,3.1,35794.0mi,—,black,ars/avis budget group,$27800,Thu Feb 05 2015 01:00:00 GMT-0800 (PST)
2013,Toyota,Avalon,XLE,sedan,automatic,4t1bk1eb8du020770,oh,4.1,18337.0mi,gray,beige,toyota financial services,$24400,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2009,Honda,CR-V,EX,SUV,automatic,5j6re38559l013228,fl,2.3,79403.0mi,black,black,first investors servicing corp,$9800,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
2012,Chrysler,300,SRT8,Sedan,automatic,2c3ccafj3ch801567,tx,3.9,13515.0mi,white,black,motorcars of south texas,$33100,Wed Jan 21 2015 01:15:00 GMT-0800 (PST)
2009,Dodge,Charger,Base,Sedan,automatic,2b3ka43d29h629622,ga,4.8,52071.0mi,black,gray,edward colosimo auto sales,$11200,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2013,Volkswagen,Beetle,2.5L,Hatchback,automatic,3vwjx7at3dm666965,nv,4.3,13812.0mi,gray,black,"volkswagen southtowne, inc",$14000,Fri Feb 13 2015 03:45:00 GMT-0800 (PST)
2011,Nissan,Rogue,SV,SUV,automatic,jn8as5mv1bw300538,tn,3.0,21225.0mi,—,black,nissan-infiniti lt,$15800,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
2014,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk3eu359733,fl,3.7,40246.0mi,silver,gray,avis corporation,$14400,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2007,Nissan,Murano,S,SUV,automatic,jn8az08t87w502212,wi,3.0,92999.0mi,beige,tan,grahams auto and truck clinic llc,$8200,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2011,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja1br271079,pr,3.4,82205.0mi,silver,gray,wheels exchange llc,$7600,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2014,Ford,Escape,SE,SUV,automatic,1fmcu9gx4eua78141,mn,5.0,27366.0mi,gray,gray,certified auto center inc,$18900,Thu Jan 22 2015 02:45:00 GMT-0800 (PST)
2013,Toyota,Sienna,LE 7-Passenger Mobility Auto Access,minivan,automatic,5tdkk3dc5ds312214,ga,3.2,91748.0mi,black,gray,ge fleet services for itself/servicer,$13700,Tue Jun 16 2015 06:10:00 GMT-0700 (PDT)
2007,Ford,Expedition,XLT,SUV,automatic,1fmfu16557la67768,nj,1.8,97449.0mi,white,beige,shorecars llc,$3750,Tue Jun 30 2015 09:45:00 GMT-0700 (PDT)
2012,Toyota,Camry,SE,Sedan,automatic,4t1bk1fk9cu508851,nj,2.7,47370.0mi,red,black,toyota financial services,$15700,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
2014,Subaru,Legacy,2.5i Premium PZEV,Sedan,automatic,4s3bmbc64e3038488,nj,4.9,15285.0mi,white,beige,subaru of america,$19400,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2013,Dodge,Dart,SE,Sedan,automatic,1c3cdfaa3dd226094,pa,4.3,35313.0mi,black,black,exceptional motorcars ltd,$9800,Wed Feb 18 2015 01:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9dm713509,ca,3.8,28127.0mi,silver,black,nissan infiniti lt,$21500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Ford,Fusion Hybrid,SE,Sedan,automatic,3fa6p0lu3er165557,oh,4.1,49230.0mi,silver,beige,ge fleet services for itself/servicer,$15800,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2013,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk1dbl20350,nj,4.1,31492.0mi,black,black,"ford motor credit company,llc",$28900,Wed Feb 18 2015 01:00:00 GMT-0800 (PST)
2013,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1et9dfb93138,mi,5.0,25220.0mi,black,black,automobiles paille inc,$33800,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
2011,Chevrolet,Impala,LT Fleet,sedan,automatic,2g1wg5ek4b1212851,il,2.6,64613.0mi,gray,black,emkay inc,$7900,Tue Jun 09 2015 03:00:00 GMT-0700 (PDT)
2008,Land Rover,Range Rover,Supercharged,SUV,automatic,salmf13488a275490,nj,3.5,69783.0mi,white,black,ford lincoln of queens preowned,$24750,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2012,Toyota,Yaris,Fleet,sedan,automatic,jtdbt4k38cl031921,pr,3.7,25735.0mi,black,beige,oriental bank,$10100,Thu Jun 11 2015 06:00:00 GMT-0700 (PDT)
